iter	MultiClass
0	5.43937879
1	5.324682316
2	5.059798897
3	4.915088613
4	4.713179584
5	4.686515766
6	4.608444645
7	4.49803852
8	4.458996573
9	4.358875258
10	4.320300874
11	4.263638568
12	4.196958335
13	4.19080354
14	4.082891362
15	4.026694383
16	3.963328289
17	3.885644652
18	3.838825477
19	3.796050912
20	3.732034234
21	3.678897118
22	3.644665684
23	3.612799254
24	3.586441512
25	3.563033528
26	3.539307901
27	3.497717738
28	3.473282291
29	3.451261094
30	3.428330761
31	3.412182951
32	3.386400368
33	3.371974625
34	3.353984063
35	3.335313473
36	3.318714893
37	3.305031537
38	3.268944155
39	3.251036355
40	3.239646528
41	3.223314336
42	3.208104602
43	3.193751883
44	3.155552808
45	3.137163652
46	3.126013652
47	3.11138382
48	3.095379545
49	3.071765201
50	3.05058701
51	3.038561486
52	3.005230935
53	2.981628666
54	2.966968447
55	2.941107184
56	2.933276152
57	2.912031076
58	2.891004161
59	2.875553343
60	2.845153944
61	2.835955099
62	2.820279096
63	2.810774099
64	2.797881058
65	2.788373744
66	2.772546048
67	2.761057638
68	2.744617609
69	2.734560139
70	2.721741809
71	2.711035084
72	2.693927861
73	2.682150211
74	2.666039473
75	2.654186
76	2.640478792
77	2.631386128
78	2.615088534
79	2.602552106
80	2.592372293
81	2.58171285
82	2.566113907
83	2.557076638
84	2.542184276
85	2.535119312
86	2.528055365
87	2.51822023
88	2.503451333
89	2.498237616
90	2.48842424
91	2.478305286
92	2.467798874
93	2.460297918
94	2.448907483
95	2.439426687
96	2.427226835
97	2.418457885
98	2.407247434
99	2.40030803
