iter	Passed	Remaining
0	644	63836
1	947	46450
2	1425	46087
3	1914	45945
4	2376	45146
5	2539	39791
6	2815	37409
7	3319	38175
8	3495	35346
9	3964	35677
10	4290	34713
11	4584	33621
12	4994	33421
13	5160	31698
14	5597	31720
15	6050	31766
16	6528	31874
17	6988	31837
18	7449	31760
19	7892	31571
20	8327	31327
21	8788	31158
22	9280	31070
23	9764	30922
24	10169	30507
25	10591	30144
26	11005	29756
27	11454	29453
28	11864	29048
29	12295	28689
30	12706	28281
31	13178	28005
32	13624	27661
33	14026	27228
34	14442	26821
35	14849	26399
36	15255	25974
37	15702	25619
38	16116	25208
39	16581	24872
40	16980	24435
41	17376	23996
42	17776	23563
43	18213	23181
44	18671	22820
45	19084	22403
46	19507	21997
47	19955	21618
48	20360	21191
49	20803	20803
50	21222	20390
51	21636	19972
52	22057	19560
53	22461	19133
54	22922	18754
55	23404	18389
56	23860	17999
57	24337	17623
58	24789	17226
59	25223	16815
60	25679	16418
61	26163	16035
62	26584	15613
63	26990	15181
64	27430	14770
65	27833	14338
66	28227	13903
67	28630	13473
68	29052	13052
69	29453	12622
70	29873	12201
71	30321	11791
72	30730	11366
73	31128	10936
74	31527	10509
75	31939	10086
76	32340	9660
77	32756	9239
78	33229	8833
79	33650	8412
80	34049	7986
81	34508	7574
82	34915	7151
83	35314	6726
84	35731	6305
85	36127	5881
86	36552	5461
87	36945	5038
88	37354	4616
89	37755	4195
90	38187	3776
91	38580	3354
92	39014	2936
93	39439	2517
94	39851	2097
95	40295	1678
96	40705	1258
97	41141	839
98	41560	419
99	41996	0
